单品类,2023-07-01 00:00:00,2023-07-02 00:00:00,2023-07-03 00:00:00,2023-07-04 00:00:00,2023-07-05 00:00:00,2023-07-06 00:00:00,2023-07-07 00:00:00
七彩椒(2),1.8022832671052167,-0.27036862910696313,0.49297314832847094,0.48464435428212416,1.007301928321702,0.5499541609203914,0.002777274374876626
白玉菇(袋),1.0,0.9999999999972597,1.0000000000000002,1.0002551671300561,1.0000000000000002,1.0000000000000002,1.0000000000000002
紫茄子(1),-0.577,2.5080000000000005,0.22199999999999998,0.37800000000000056,-0.6689999999999996,-0.7809999999999996,-0.7809999999999996
虫草花,0.18199999999999997,0.18199999999999997,0.18199999999999997,0.18199999999999997,0.18199999999999997,0.18199999999999997,0.2730000454999772
青红杭椒组合装(份),5.396339012859303,6.007433221008191,4.153862630932058,4.755243483753189,4.197074858372737,5.571439147435343,5.063511617386331
鲜粽叶(袋)(3),16.713582030522314,14.413313829553285,14.415642278634058,14.415049163987383,46.58847390243563,24.53783591628818,26.684811311255597
云南生菜,-5.186887991683012,-13.000618647286633,-8.651728676931686,-22.029173467202074,-13.1456351355343,-26.433538987275558,-27.737986971884958
高瓜(2),1.4289748562135882,1.0219192746437704,1.7260240761342627,0.8128041023463299,1.6703095973029458,1.4537120337935532,1.5647835648520667
青茄子(1),0.48197085849658006,3.522475698566415,8.265139542262805,1.6501273877954636,-1.6840361969148838,4.097347670599774,1.391005210773257
马齿苋,0.291,0.291,0.762500235749882,0.5015002357498821,0.42150023574988216,0.4815002357498821,0.11050023574988205
菜心,0.972973512434371,1.8305928636002515,2.502273811423618,1.225810456177209,-4.183160750967456,-2.9185077311531415,-4.071485609339278
紫苏,1.3909999999999998,1.3909999999999998,1.3909999999999998,1.3909999999999998,1.3909999999999998,1.3909999999999998,2.086500347749826
薄荷叶,0.7459999999999999,0.7459999999999999,0.7459999999999999,0.7459999999999999,0.7459999999999999,0.7459999999999999,1.1190001864999066
青梗散花,7.041999999999999,7.041999999999999,7.041999999999999,7.041999999999999,7.041999999999999,7.041999999999999,10.563001760499118
青线椒(份),3.0000009999995,5.0000009999995,9.999995000953277e-07,1.0000009999995,1.0000009999995,9.999995000953277e-07,9.999995000953277e-07
冰草(盒),1.0,1.0,1.0,1.0,1.0,1.0,1.500000249999875
黄白菜(2),0.5910000000000001,0.5910000000000001,0.5910000000000001,0.5910000000000001,0.5910000000000001,1.119000263999868,0.6540002639998681
艾蒿,4.874,4.874,4.874,4.874,6.428000776999611,5.214000776999612,8.194000776999612
外地茼蒿,0.996,0.996,2.7765008902495545,1.2635008902495548,2.8955008902495547,1.0775008902495546,0.21150089024955454
菠菜,1.275,1.275,1.275,1.275,2.9010008129995932,1.9420008129995943,0.924000812999594
云南油麦菜,0.293,0.293,0.293,0.293,2.409001057999471,-1.2499989420005284,-1.5299989420005293
鲜木耳(份),4.0,4.0,4.0,4.0,4.0,4.0,6.0000009999995
野生粉藕,0.2309999999999999,0.2309999999999999,0.2309999999999999,0.2309999999999999,0.9515003602498198,0.27750036024981983,-0.2584996397501804
